,Game Result,Game Mode,Time Length,MMR or Elo,Skill Rank,Relic 1,Relic 2,KDA,Ranked,Level,Total_Gold,Class,God,Gold Per Minute,Damage Dealt,In Hand Damage Dealt,Damage Taken,Damage Mitigated,Team Healing,Self Healing,Structure Damage,Wards,Distance Traveled,Kills,Deaths,Assists
11,0,Conquest,20,-18,-30 ,Aegis,Beads,"
0.75 
",1,17,"10510
",Hunter,Apollo,526,532.3,309.5,638.4,228.0,0,30.8,58.7,0.15,19634.4,0.15,0.3,0.15
12,1,Conquest,10,8,44 ,Unchosen,Blink,"
1.33 
",0,10,"5909
",Guardian,Ares,591,541.7,48.9,717.6,401.9,0,147.9,0.0,0.2,19437.8,0.3,0.3,0.2
13,0,Conquest,30,-16,-15 ,Beads,Blink,"
3 
",1,20,"18977
",Hunter,Ullr,633,994.8,555.9666666666667,1006.9333333333333,417.56666666666666,0,484.1666666666667,231.76666666666668,0.2,18477.266666666666,0.4666666666666667,0.2,0.26666666666666666
14,1,Conquest,25,20,11 ,Aegis,Beads,"
8.25 
",1,20,"15867
",Mage,Isis,635,802.28,101.24,638.72,270.76,3455,334.84,12.76,0.36,19383.52,0.4,0.08,0.52
15,1,Conquest,23,18,6 ,Aegis,Beads,"
12 
",1,20,"15929
",Hunter,Apollo,693,1469.5652173913043,981.1304347826087,951.6521739130435,459.39130434782606,0,429.0,396.8695652173913,0.34782608695652173,21611.782608695652,0.8695652173913043,0.08695652173913043,0.34782608695652173
16,1,Conquest,25,7,24 ,Aegis,Beads,"
5 
",0,20,"16430
",Mage,Zeus,657,1128.8,215.2,861.12,277.68,0,441.0,50.04,0.2,17148.0,0.76,0.16,0.08
17,1,Conquest,19,18,43 ,Shell,Heavenly,"
6.5 
",1,18,"12541
",Assassin,Ne Zha,660,522.0,157.8421052631579,894.3157894736842,552.6842105263158,0,442.89473684210526,40.31578947368421,0.2631578947368421,23520.947368421053,0.3684210526315789,0.10526315789473684,0.631578947368421
18,0,Conquest,31,-16,-94 ,Beads,Blink,"
1.29 
",0,20,"15081
",Mage,Chang'e,486,697.516129032258,65.35483870967742,715.6774193548387,223.8709677419355,1453,261.06451612903226,12.67741935483871,0.03225806451612903,17504.709677419356,0.16129032258064516,0.22580645161290322,0.25806451612903225
19,1,Conquest,27,8,39 ,Bracer,Blink,"
5.75 
",0,20,"14651
",Guardian,Ares,543,821.2592592592592,31.444444444444443,953.6296296296297,889.6296296296297,0,172.85185185185185,25.0,0.25925925925925924,19808.62962962963,0.18518518518518517,0.07407407407407407,0.48148148148148145
20,1,Conquest,31,10,29 ,Aegis,Beads,"
8.17 
",0,20,"22907
",Mage,Poseidon,739,1315.774193548387,283.0967741935484,595.9354838709677,241.38709677419354,0,111.6774193548387,124.58064516129032,0.12903225806451613,25333.58064516129,0.6774193548387096,0.0967741935483871,0.22580645161290322
21,0,Conquest,30,-15,-25 ,Aegis,Beads,"
1.42 
",0,20,"15444
",Mage,Vulcan,515,879.2333333333333,234.13333333333333,699.2333333333333,318.1666666666667,0,33.46666666666667,17.366666666666667,0.16666666666666666,20493.8,0.13333333333333333,0.2,0.3
22,1,Conquest,24,6,21 ,Thorns,Blink,"
16.5 
",0,20,"16136
",Warrior,Nike,672,899.1666666666666,215.375,859.0416666666666,1121.2916666666667,0,262.25,99.25,0.16666666666666666,21461.5,0.5416666666666666,0.0,0.2916666666666667
23,0,Conquest,21,-16,-11 ,Aegis,Beads,"
0.4 
",1,16,"9519
",Hunter,Anhur,453,415.0952380952381,141.95238095238096,597.3809523809524,186.76190476190476,0,47.857142857142854,49.76190476190476,0.09523809523809523,16928.04761904762,0.047619047619047616,0.23809523809523808,0.09523809523809523
24,1,Conquest,24,15,7 ,Aegis,Beads,"
3.33 
",1,20,"15989
",Hunter,Apollo,666,681.75,455.0,764.3333333333334,357.0833333333333,0,310.25,591.3333333333334,0.375,21033.708333333332,0.2916666666666667,0.125,0.25
25,0,Conquest,32,-18,-31 ,Aegis,Beads,"
1.63 
",1,20,"18139
",Hunter,Medusa,567,701.90625,414.78125,895.28125,371.40625,0,168.875,0.0,0.28125,17563.03125,0.28125,0.25,0.25
26,1,Conquest,15,17,17 ,Aegis,Beads,"
10 
",1,15,"9699
",Mage,Isis,647,512.8666666666667,45.4,399.6666666666667,137.33333333333334,0,210.33333333333334,68.0,0.26666666666666666,20296.466666666667,0.4666666666666667,0.06666666666666667,0.4
27,0,Conquest,22,-18,-18 ,Aegis,Beads,"
3 
",1,19,"11914
",Mage,Scylla,542,599.5454545454545,68.77272727272727,623.1363636363636,167.4090909090909,0,143.63636363636363,0.0,0.22727272727272727,19283.136363636364,0.3181818181818182,0.13636363636363635,0.18181818181818182
28,0,Conquest,10,-21,-60 ,Unchosen,Beads,"
1.17 
",1,9,"5859
",Hunter,Cernunnos,586,448.5,220.4,536.3,152.5,0,96.2,0.0,0.0,18628.5,0.3,0.3,0.1
29,0,Conquest,20,-18,-83 ,Aegis,Beads,"
2.17 
",1,18,"11554
",Mage,Chronos,578,570.45,286.7,686.4,227.5,0,42.15,115.65,0.2,20239.85,0.15,0.15,0.35
30,1,Conquest,28,10,36 ,Aegis,Beads,"
1.33 
",1,20,"15705
",Hunter,Chiron,561,700.8928571428571,325.10714285714283,707.25,272.57142857142856,1382,281.82142857142856,193.07142857142858,0.17857142857142858,17916.85714285714,0.10714285714285714,0.21428571428571427,0.35714285714285715
31,1,Conquest,34,9,58 ,Aegis,Beads,"
2.67 
",0,20,"20507
",Mage,Baron Samedi,603,1034.5882352941176,67.44117647058823,918.0,425.1764705882353,4989,344.3529411764706,49.76470588235294,0.11764705882352941,19532.647058823528,0.35294117647058826,0.17647058823529413,0.23529411764705882
32,1,Conquest,24,9,15 ,Beads,Blink,"
5.17 
",0,20,"13888
",Assassin,Fenrir,579,895.7083333333334,487.0416666666667,927.0,357.4583333333333,0,436.9166666666667,140.79166666666666,0.16666666666666666,21047.0,0.3333333333333333,0.125,0.625
33,0,Conquest,42,-18,-30 ,Aegis,Beads,"
4 
",1,20,"25008
",Hunter,Rama,595,766.7619047619048,588.8809523809524,790.9285714285714,300.7142857142857,0,302.7142857142857,57.404761904761905,0.19047619047619047,17839.809523809523,0.2619047619047619,0.09523809523809523,0.23809523809523808
34,0,Conquest,34,-19,-16 ,Aegis,Beads,"
2.3 
",1,20,"19155
",Hunter,Anhur,563,1093.9705882352941,609.2647058823529,831.2058823529412,349.5,0,280.3235294117647,137.85294117647058,0.2647058823529412,17189.029411764706,0.23529411764705882,0.14705882352941177,0.20588235294117646
35,1,Conquest,12,18,8 ,Aegis,Beads,"
11 
",1,13,"8483
",Hunter,Apollo,707,683.75,389.5833333333333,573.0,150.5,0,133.0,248.5,0.3333333333333333,21848.5,0.6666666666666666,0.08333333333333333,0.5
36,0,Conquest,34,-15,-103 ,Aegis,Beads,"
0.89 
",0,20,"19053
",Hunter,Jing Wei,560,825.6470588235294,696.3529411764706,981.1470588235294,328.61764705882354,0,175.02941176470588,265.8529411764706,0.14705882352941177,16904.647058823528,0.20588235294117646,0.2647058823529412,0.058823529411764705
37,1,Conquest,10,9,48 ,Unchosen,Beads,"
8.5 
",0,12,"7515
",Hunter,Chiron,752,987.2,562.6,603.2,172.3,226,449.8,185.6,0.2,19578.2,0.7,0.0,0.3
38,0,Conquest,24,-21,-19 ,Aegis,Beads,"
0.44 
",1,19,"12530
",Hunter,Anhur,522,428.4166666666667,182.125,699.7083333333334,258.5,0,65.375,116.125,0.125,17254.5,0.08333333333333333,0.3333333333333333,0.125
39,1,Conquest,10,8,38 ,Unchosen,Blink,"
8 
",0,11,"6763
",Guardian,Cerberus,676,409.2,45.8,427.9,375.8,0,149.8,0.0,0.3,20926.4,0.6,0.0,0.4
40,1,Conquest,10,8,64 ,Unchosen,Blink,"
0.75 
",0,11,"6006
",Guardian,Ares,601,437.9,6.6,448.7,356.8,0,84.0,0.0,0.4,20575.7,0.0,0.2,0.3
41,1,Conquest,36,9,32 ,Beads,Blink,"
2.81 
",0,20,"22897
",Assassin,Ratatoskr,636,1433.0,712.1944444444445,1126.9444444444443,507.6111111111111,0,398.80555555555554,103.41666666666667,0.16666666666666666,21260.916666666668,0.4444444444444444,0.2222222222222222,0.3611111111111111
42,1,Conquest,21,19,27 ,Aegis,Beads,"
13.5 
",1,20,"14050
",Mage,The Morrigan,669,1067.857142857143,171.85714285714286,388.3333333333333,131.52380952380952,0,133.0952380952381,141.8095238095238,0.19047619047619047,21360.619047619046,0.38095238095238093,0.0,0.5238095238095238
43,1,Conquest,18,17,5 ,Aegis,Beads,"
14 
",1,20,"14333
",Hunter,Apollo,796,755.6666666666666,506.94444444444446,576.5,258.5,0,301.8333333333333,606.3333333333334,0.4444444444444444,22470.333333333332,0.7777777777777778,0.0,0.0
44,1,Conquest,18,9,68 ,Beads,Blink,"
11.5 
",0,19,"13403
",Hunter,Skadi,745,1027.5,488.05555555555554,437.44444444444446,136.05555555555554,0,126.88888888888889,321.5,0.2222222222222222,20513.277777777777,0.5555555555555556,0.0,0.16666666666666666
45,1,Conquest,7,19,16 ,Unchosen,Beads,"
2 
",1,7,"4440
",Hunter,Ullr,634,336.42857142857144,144.0,424.57142857142856,68.0,0,142.28571428571428,0.0,0.0,18629.428571428572,0.14285714285714285,0.14285714285714285,0.2857142857142857
46,1,Conquest,19,18,21 ,Aegis,Beads,"
10 
",1,18,"10946
",Hunter,Cupid,576,631.6315789473684,312.89473684210526,539.8421052631579,214.26315789473685,1376,235.68421052631578,175.1578947368421,0.15789473684210525,18567.157894736843,0.42105263157894735,0.05263157894736842,0.21052631578947367
47,1,Conquest,21,9,41 ,Beads,Blink,"
7 
 ",0,19,"12993
",Warrior,Nike,619,706.5714285714286,336.3333333333333,708.0,281.5238095238095,0,125.80952380952381,179.57142857142858,0.14285714285714285,21336.190476190477,0.47619047619047616,0.09523809523809523,0.38095238095238093
48,1,Conquest,27,10,172 ,Thorns,Teleport,"
5.75 
",0,20,"16198
",Guardian,Xing Tian,600,770.4814814814815,57.851851851851855,1025.2592592592594,1264.962962962963,0,365.85185185185185,35.888888888888886,0.14814814814814814,18856.14814814815,0.18518518518518517,0.07407407407407407,0.48148148148148145
49,0,Conquest,36,-14,-51 ,Beads,Blink,"
3.92 
",0,20,"22166
",Warrior,Hercules,616,1109.0,495.75,1123.3333333333333,503.8611111111111,0,489.6388888888889,78.55555555555556,0.05555555555555555,22169.36111111111,0.5555555555555556,0.16666666666666666,0.19444444444444445
50,1,Conquest,31,17,13 ,Beads,Blink,"
7.75 
",1,20,"21497
",Hunter,Anhur,693,882.8064516129032,395.0,635.2903225806451,351.3225806451613,0,268.96774193548384,198.16129032258064,0.22580645161290322,18342.516129032258,0.3870967741935484,0.06451612903225806,0.22580645161290322
51,1,Conquest,29,19,11 ,Aegis,Beads,"
5.33 
",1,20,"19828
",Hunter,Apollo,684,1029.5862068965516,654.5862068965517,874.0344827586207,418.0,0,331.3103448275862,311.9310344827586,0.2413793103448276,22319.44827586207,0.4482758620689655,0.10344827586206896,0.20689655172413793
52,0,Conquest,30,-20,-29 ,Aegis,Beads,"
1.83 
",1,20,"15831
",Hunter,Medusa,528,820.4666666666667,433.2,923.5666666666667,291.4,0,266.4,168.56666666666666,0.23333333333333334,17359.933333333334,0.3,0.2,0.13333333333333333
53,1,Conquest,16,19,5 ,Aegis,Beads,"
8.5 
",1,17,"11301
",Hunter,Apollo,706,718.8125,439.375,696.625,274.625,0,317.125,394.25,0.125,22059.1875,0.4375,0.0625,0.1875
54,0,Conquest,25,-13,-68 ,Beads,Heavenly,"
0.5 
",0,17,"12169
",Assassin,Bastet,487,445.28,145.64,693.56,254.0,0,77.24,50.32,0.08,19386.88,0.04,0.28,0.2
55,0,Conquest,34,-12,-39 ,Aegis,Beads,"
0.5 
 ",0,20,"15872
",Mage,Raijin,467,456.79411764705884,49.44117647058823,959.5882352941177,467.88235294117646,0,86.79411764705883,30.794117647058822,0.08823529411764706,16017.64705882353,0.11764705882352941,0.4117647058823529,0.17647058823529413
56,0,Conquest,16,-12,-33 ,Unchosen,Heavenly,"
0.56 
",0,11,"8475
",Guardian,Kumbhakarna,530,235.6875,34.8125,940.4375,518.75,0,89.5625,0.0,0.0,18984.4375,0.25,0.5,0.0625
57,0,Conquest,22,-13,-37 ,Beads,Blink,"
1.56 
",0,20,"13624
",Hunter,Artemis,619,1015.2727272727273,725.2727272727273,823.0909090909091,280.54545454545456,0,182.72727272727272,184.95454545454547,0.18181818181818182,14827.727272727272,0.5,0.36363636363636365,0.13636363636363635
58,1,Conquest,36,8,31 ,Beads,Blink,"
2.33 
",0,20,"23056
",Assassin,Pele,640,1047.3055555555557,213.25,895.8611111111111,658.3888888888889,0,140.58333333333334,178.69444444444446,0.1388888888888889,18114.0,0.4722222222222222,0.25,0.2222222222222222
59,0,Conquest,26,-14,-94 ,Beads,Blink,"
1.8 
",0,19,"12333
",Guardian,Ares,474,577.3846153846154,34.34615384615385,907.8076923076923,543.8076923076923,0,264.8076923076923,9.76923076923077,0.19230769230769232,19600.653846153848,0.07692307692307693,0.19230769230769232,0.5384615384615384
60,1,Conquest,26,6,72 ,Blink,Beads,"
2.25 
",0,20,"17106
",Warrior,Erlang Shen,658,983.0,536.6538461538462,1006.9230769230769,581.6153846153846,0,373.61538461538464,24.423076923076923,0.038461538461538464,20128.384615384617,0.38461538461538464,0.23076923076923078,0.2692307692307692
61,0,Conquest,25,-18,-35 ,Aegis,Beads,"
2.25 
",1,20,"14973
",Hunter,Apollo,599,1078.84,754.2,1170.84,644.68,0,296.0,136.04,0.28,19027.16,0.48,0.24,0.12
62,0,Conquest,25,-16,-15 ,Aegis,Beads,"
2.13 
",1,20,"13296
",Hunter,Ullr,532,594.4,234.76,638.96,295.8,0,50.92,40.24,0.28,19496.84,0.2,0.16,0.28
63,1,Conquest,36,17,17 ,Aegis,Beads,"
0.77 
",1,20,"19639
",Hunter,Cupid,546,611.5555555555555,367.1666666666667,827.6944444444445,337.05555555555554,1685,260.05555555555554,101.22222222222223,0.1388888888888889,15372.194444444445,0.19444444444444445,0.3611111111111111,0.16666666666666666
64,1,Conquest,10,19,9 ,Unchosen,Beads,"
7 
",1,11,"6968
",Hunter,Apollo,697,701.6,277.8,510.0,162.3,0,116.2,134.0,0.4,22097.9,0.5,0.0,0.4
65,0,Conquest,19,-14,-45 ,Aegis,Beads,"
1.29 
",0,16,"10368
",Hunter,Ah Muzen Cab,546,900.2105263157895,371.63157894736844,757.8421052631579,237.10526315789474,0,146.3684210526316,70.10526315789474,0.10526315789473684,15988.894736842105,0.3684210526315789,0.3684210526315789,0.21052631578947367
66,0,Conquest,28,-14,-74 ,Beads,Blink,"
1.89 
",0,20,"17440
",Warrior,Erlang Shen,623,840.2857142857143,367.10714285714283,1165.5357142857142,801.0714285714286,0,284.67857142857144,136.21428571428572,0.2857142857142857,18433.89285714286,0.5,0.32142857142857145,0.21428571428571427
67,0,Conquest,37,-20,-16 ,Aegis,Beads,"
4.33 
",1,20,"19927
",Hunter,Ullr,539,848.7027027027027,428.6216216216216,677.8648648648649,319.3243243243243,0,195.35135135135135,64.05405405405405,0.2972972972972973,20098.27027027027,0.2702702702702703,0.08108108108108109,0.16216216216216217
68,1,Conquest,14,20,7 ,Aegis,Beads,"
6 
",1,14,"9147
",Hunter,Apollo,653,468.35714285714283,269.2857142857143,384.57142857142856,120.57142857142857,0,118.57142857142857,197.57142857142858,0.35714285714285715,23509.571428571428,0.21428571428571427,0.0,0.42857142857142855
69,1,Conquest,16,8,11 ,Aegis,Beads,"
5 
",0,16,"10201
",Mage,Discordia,638,597.625,64.8125,448.75,149.6875,0,15.625,50.8125,0.3125,19226.625,0.4375,0.125,0.375
70,0,Conquest,32,-24,-41 ,Aegis,Beads,"
3.6 
",1,20,"19876
",Hunter,Cupid,621,1386.96875,913.21875,882.25,403.5,2156,423.25,228.09375,0.1875,17205.125,0.46875,0.15625,0.1875
71,0,Conquest,25,-18,-16 ,Aegis,Beads,"
2.75 
",1,20,"13544
",Hunter,Ullr,542,838.08,409.36,763.44,321.56,0,139.72,120.4,0.16,18156.68,0.4,0.16,0.08
72,1,Conquest,42,7,51 ,Beads,Blink,"
2.94 
",0,20,"27079
",Assassin,Awilix,645,1154.047619047619,490.6190476190476,819.3809523809524,364.8333333333333,0,96.47619047619048,139.47619047619048,0.19047619047619047,22424.071428571428,0.38095238095238093,0.19047619047619047,0.35714285714285715
73,1,Conquest,27,5,180 ,Beads,Blink,"
8.67 
",0,20,"20522
",Hunter,Artemis,760,1723.148148148148,1205.8148148148148,1011.4814814814815,511.77777777777777,0,601.5185185185185,220.92592592592592,0.18518518518518517,17606.037037037036,0.8518518518518519,0.1111111111111111,0.2222222222222222
74,0,Conquest,10,-13,-42 ,Unchosen,Blink,"
0 
",0,9,"5374
",Guardian,Jormungandr,537,498.5,176.8,828.1,293.8,0,142.1,0.0,0.0,17472.2,0.0,0.3,0.0
75,1,Conquest,26,8,62 ,Beads,Blink,"
5.83 
",0,20,"17473
",Mage,Nu Wa,672,1036.576923076923,324.53846153846155,709.5384615384615,280.15384615384613,0,200.07692307692307,211.30769230769232,0.2692307692307692,21854.69230769231,0.38461538461538464,0.11538461538461539,0.5769230769230769
76,0,Conquest,25,-22,-18 ,Aegis,Beads,"
1.21 
",1,20,"12917
",Hunter,Anhur,517,636.2,362.72,762.76,249.32,0,90.36,0.0,0.16,15900.36,0.24,0.28,0.2
77,1,Conquest,22,16,7 ,Aegis,Beads,"
5.17 
",1,20,"15439
",Hunter,Apollo,702,1058.4545454545455,762.4090909090909,646.2272727272727,278.59090909090907,0,281.95454545454544,447.40909090909093,0.22727272727272727,20407.363636363636,0.5909090909090909,0.13636363636363635,0.22727272727272727
78,1,Conquest,26,20,12 ,Aegis,Beads,"
22.5 
",1,20,"17971
",Hunter,Cupid,691,1375.076923076923,1009.9230769230769,958.3461538461538,425.15384615384613,2255,660.6923076923077,338.0,0.23076923076923078,19758.5,0.6538461538461539,0.038461538461538464,0.4230769230769231
79,1,Conquest,34,22,19 ,Aegis,Beads,"
6.25 
",1,20,"20658
",Hunter,Ullr,608,816.3823529411765,439.8529411764706,646.4411764705883,347.8235294117647,0,302.79411764705884,227.14705882352942,0.20588235294117646,20876.08823529412,0.20588235294117646,0.058823529411764705,0.3235294117647059
80,1,Conquest,24,22,16 ,Beads,Blink,"
3.5 
",1,20,"13368
",Hunter,Anhur,557,840.5,476.8333333333333,543.8333333333334,201.58333333333334,0,102.0,145.875,0.25,17586.958333333332,0.25,0.125,0.375
81,1,Conquest,24,22,16 ,Beads,Blink,"
3.5 
",1,20,"13368
",Hunter,Anhur,609,636.8333333333334,300.5416666666667,892.4166666666666,353.0833333333333,0,383.0416666666667,228.54166666666666,0.20833333333333334,20693.666666666668,0.25,0.125,0.375
82,1,Conquest,27,17,78 ,Beads,Blink,"
3.5 
",1,20,"16449
",Hunter,Anhur,557,747.1111111111111,423.85185185185185,483.4074074074074,179.1851851851852,0,90.66666666666667,129.66666666666666,0.2222222222222222,15632.851851851852,0.2222222222222222,0.1111111111111111,0.3333333333333333
83,1,Conquest,27,17,78 ,Beads,Blink,"
3.5 
",1,20,"16449
",Hunter,Anhur,609,566.074074074074,267.14814814814815,793.2592592592592,313.85185185185185,0,340.48148148148147,203.14814814814815,0.18518518518518517,18394.37037037037,0.2222222222222222,0.1111111111111111,0.3333333333333333
84,1,Conquest,14,8,93 ,Beads,Blink,"
9.5 
",0,14,"9274
",Warrior,Hercules,662,626.5,216.85714285714286,448.2857142857143,164.0,0,244.21428571428572,0.0,0.2857142857142857,22861.64285714286,0.5714285714285714,0.07142857142857142,0.21428571428571427
85,1,Conquest,20,16,10 ,Aegis,Beads,"
8.75 
",1,20,"15257
",Hunter,Apollo,763,978.55,708.4,811.3,301.6,0,317.3,387.35,0.35,21600.7,0.8,0.1,0.15
86,0,Conquest,17,-11,-76 ,Beads,Blink,"
0.13 
",0,13,"7957
",Assassin,Set,468,240.23529411764707,60.588235294117645,628.8235294117648,338.3529411764706,0,69.88235294117646,0.0,0.17647058823529413,19205.529411764706,0.0,0.23529411764705882,0.058823529411764705
87,0,Conquest,27,-13,-33 ,Beads,Blink,"
1.88 
",0,20,"14115
",Mage,Zhong Kui,523,1071.7407407407406,42.629629629629626,781.6296296296297,523.3703703703703,0,235.85185185185185,18.88888888888889,0.07407407407407407,18236.25925925926,0.2222222222222222,0.14814814814814814,0.1111111111111111
88,1,Conquest,10,8,24 ,Unchosen,Beads,"
8.5 
",0,11,"6674
",Mage,Thoth,667,735.4,45.4,382.1,107.5,0,16.8,44.8,0.2,17845.0,0.6,0.1,0.5
89,1,Conquest,27,7,49 ,Thorns,Teleport,"
 3.38 
",0,20,"17035
",Warrior,Bellona,631,979.5555555555555,476.0740740740741,1250.0,1203.5185185185185,0,751.0370370370371,51.407407407407405,0.2222222222222222,19758.48148148148,0.3333333333333333,0.14814814814814814,0.3333333333333333
90,1,Conquest,31,7,10 ,Beads,Blink,"
3.08 
",0,20,"20181
",Mage,Scylla,651,1011.4193548387096,125.87096774193549,892.6129032258065,334.38709677419354,0,409.51612903225805,37.38709677419355,0.25806451612903225,18271.74193548387,0.41935483870967744,0.1935483870967742,0.3548387096774194
91,0,Conquest,10,-21,-38 ,Unchosen,Blink,"
0.25 
",1,8,"5264
",Assassin,Thanatos,526,230.2,86.0,743.5,204.8,0,469.8,0.0,0.0,22426.5,0.0,0.4,0.2
92,0,Conquest,31,-22,-21 ,Aegis,Beads,"
0.86 
",1,20,"16233
",Hunter,Ullr,524,612.8064516129032,333.8709677419355,798.2903225806451,336.80645161290323,0,95.90322580645162,87.83870967741936,0.3225806451612903,18693.677419354837,0.1935483870967742,0.22580645161290322,0.0
93,1,Conquest,31,22,21 ,Aegis,Beads,"
2 
",1,20,"18011
",Hunter,Anhur,581,1154.1935483870968,587.4193548387096,863.6129032258065,346.38709677419354,0,277.4193548387097,254.51612903225808,0.22580645161290322,17167.129032258064,0.3225806451612903,0.25806451612903225,0.3870967741935484
94,1,Conquest,25,23,41 ,Aegis,Beads,"
6.5 
",1,20,"15970
",Hunter,Cernunnos,639,1031.52,563.36,799.2,345.2,0,506.32,173.24,0.24,18953.2,0.32,0.08,0.4
95,0,Conquest,26,-19,-19 ,Beads,Blink,"
1.6 
",1,20,"14504
",Hunter,Ullr,558,1062.0,512.8846153846154,1062.6923076923076,496.2692307692308,0,187.6153846153846,13.538461538461538,0.07692307692307693,16801.653846153848,0.46153846153846156,0.38461538461538464,0.3076923076923077
96,1,Conquest,24,22,43 ,Aegis,Beads,"
1.11 
",1,19,"14186
",Hunter,Hou Yi,591,808.875,397.4166666666667,847.0833333333334,351.4166666666667,0,135.29166666666666,173.75,0.16666666666666666,17425.208333333332,0.2916666666666667,0.375,0.25
97,1,Conquest,31,22,19 ,Aegis,Beads,"
6.83 
",1,20,"19744
",Hunter,Cupid,637,1054.9032258064517,739.1612903225806,850.6129032258065,333.9032258064516,5523,480.96774193548384,301.51612903225805,0.1935483870967742,18056.967741935485,0.5161290322580645,0.0967741935483871,0.2903225806451613
98,0,Conquest,36,-22,-28 ,Aegis,Beads,"
4.5 
",1,20,"23214
",Hunter,Apollo,645,957.0277777777778,644.4722222222222,840.4722222222222,370.05555555555554,0,318.25,167.22222222222223,0.3055555555555556,21530.38888888889,0.5555555555555556,0.1388888888888889,0.1388888888888889
99,1,Conquest,23,22,27 ,Aegis,Beads,"
3.67 
",1,20,"13361
",Hunter,Cupid,581,970.304347826087,632.2173913043479,773.9565217391304,348.04347826086956,2702,363.6521739130435,131.7391304347826,0.2608695652173913,18419.739130434784,0.30434782608695654,0.13043478260869565,0.34782608695652173
100,1,Conquest,22,24,11 ,Aegis,Beads,"
10 
",1,20,"15204
",Hunter,Apollo,691,828.9545454545455,590.5454545454545,755.1818181818181,340.3181818181818,0,392.5,449.45454545454544,0.18181818181818182,22127.909090909092,0.13636363636363635,0.045454545454545456,0.6363636363636364
101,1,Conquest,27,19,11 ,Beads,Blink,"
6.33 
",1,20,"16979
",Hunter,Anhur,629,1023.8888888888889,615.6666666666666,840.925925925926,316.48148148148147,0,346.55555555555554,172.92592592592592,0.2962962962962963,18175.333333333332,0.4444444444444444,0.1111111111111111,0.5185185185185185
