,Game Result,Game Mode,Time Length,MMR or Elo,Skill Rank,Relic 1,Relic 2,Kill #,Death #,Assist #,KDA,God Name,Level and Total Gold
24,victory,Ranked: Conquest - 5 days ago,24m,+15,+7 SR,Aegis Amulet,Purification Beads,7, 3, 6,"
3.33 KDA
",Apollo,"
Level 20 / 15,989G
"
25,defeat,Ranked: Conquest - 6 days ago,32m,-18,-31 SR,Aegis Amulet,Purification Beads,9, 8, 8,"
1.63 KDA
",Medusa,"
Level 20 / 18,139G
"
26,victory,Ranked: Conquest - 6 days ago,15m,+17,+17 SR,Aegis Amulet,Purification Beads,7, 1, 6,"
10 KDA
",Isis,"
Level 15 / 9,699G
"
27,defeat,Ranked: Conquest - 6 days ago,22m,-18,-18 SR,Aegis Amulet,Purification Beads,7, 3, 4,"
3 KDA
",Scylla,"
Level 19 / 11,914G
"
28,defeat,Ranked: Conquest - 6 days ago,10m,-21,-60 SR,Relic,Purification Beads,3, 3, 1,"
1.17 KDA
",Cernunnos,"
Level 9 / 5,859G
"
29,defeat,Ranked: Conquest - 6 days ago,20m,-18,-83 SR,Aegis Amulet,Purification Beads,3, 3, 7,"
2.17 KDA
",Chronos,"
Level 18 / 11,554G
"
30,victory,Ranked: Conquest - 6 days ago,28m,+10,+36 SR,Aegis Amulet,Purification Beads,3, 6, 10,"
1.33 KDA
",Chiron,"
Level 20 / 15,705G
"
31,victory,Normal: Conquest - 6 days ago,34m,"+9
",+58 SR,Aegis Amulet,Purification Beads,12, 6, 8,"
2.67 KDA
",Baron Samedi,"
Level 20 / 20,507G
"
32,victory,Normal: Conquest - 6 days ago,24m,"+9
",+15 SR,Purification Beads,Blink Rune,8, 3, 15,"
5.17 KDA
",Fenrir,"
Level 20 / 13,888G
"
33,defeat,Ranked: Conquest - 6 days ago,42m,-18,-30 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,11, 4, 10,"
4 KDA
",Rama,"
Level 20 / 25,008G
"
34,defeat,Ranked: Conquest - 6 days ago,34m,-19,-16 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,8, 5, 7,"
2.3 KDA
",Anhur,"
Level 20 / 19,155G
"
35,victory,Ranked: Conquest - 6 days ago,12m,+18,+8 SR,Aegis Amulet,Purification Beads,8, 1, 6,"
11 KDA
",Apollo,"
Level 13 / 8,483G
"
36,defeat,Normal: Conquest - 7 days ago,34m,-15,-103 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,7, 9, 2,"
0.89 KDA
",Jing Wei,"
Level 20 / 19,053G
"
37,victory,Normal: Conquest - 7 days ago,10m,"+9
",+48 SR,Relic,Purification Beads,7, 0, 3,"
8.5 KDA
",Chiron,"
Level 12 / 7,515G
"
38,defeat,Ranked: Conquest - 7 days ago,24m,-21,-19 SR,Aegis Amulet,Purification Beads,2, 8, 3,"
0.44 KDA
",Anhur,"
Level 19 / 12,530G
"
39,victory,Normal: Conquest - 7 days ago,10m,"+8
",+38 SR,Relic,Blink Rune,6, 0, 4,"
8 KDA
",Cerberus,"
Level 11 / 6,763G
"
40,victory,Normal: Conquest - 7 days ago,10m,"+8
",+64 SR,Relic,Blink Rune,0, 2, 3,"
0.75 KDA
",Ares,"
Level 11 / 6,006G
"
41,victory,Normal: Conquest - 7 days ago,36m,"+9
",+32 SR,Purification Beads Upgrade,Blink Rune Upgrade,16, 8, 13,"
2.81 KDA
",Ratatoskr,"
Level 20 / 22,897G
"
42,victory,Ranked: Conquest - 7 days ago,21m,+19,+27 SR,Aegis Amulet,Purification Beads,8, 0, 11,"
13.5 KDA
",The Morrigan,"
Level 20 / 14,050G
"
43,victory,Ranked: Conquest - 7 days ago,18m,+17,+5 SR,Aegis Amulet,Purification Beads,14, 0, 0,"
14 KDA
",Apollo,"
Level 20 / 14,333G
"
44,victory,Normal: Conquest - 9 days ago,18m,"+9
",+68 SR,Purification Beads,Blink Rune,10, 0, 3,"
11.5 KDA
",Skadi,"
Level 19 / 13,403G
"
45,victory,Ranked: Conquest - 9 days ago,7m,+19,+16 SR,Relic,Purification Beads,1, 1, 2,"
2 KDA
",Ullr,"
Level 7 / 4,440G
"
46,victory,Ranked: Conquest - 9 days ago,19m,+18,+21 SR,Aegis Amulet,Purification Beads,8, 1, 4,"
10 KDA
",Cupid,"
Level 18 / 10,946G
"
47,victory,Normal: Conquest - 9 days ago,21m,"+9
",+41 SR,Purification Beads,Blink Rune,10, 2, 8,"
7 KDA
 ",Nike,"
Level 19 / 12,993G
"
48,victory,Normal: Conquest - 9 days ago,27m,+10,+172 SR,Shield of Thorns Upgrade,Teleport Glyph Upgrade,5, 2, 13,"
5.75 KDA
",Xing Tian,"
Level 20 / 16,198G
"
49,defeat,Normal: Conquest - 9 days ago,36m,-14,-51 SR,Purification Beads Upgrade,Blink Rune Upgrade,20, 6, 7,"
3.92 KDA
",Hercules,"
Level 20 / 22,166G
"
50,victory,Ranked: Conquest - 9 days ago,31m,+17,+13 SR,Purification Beads Upgrade,Blink Rune,12, 2, 7,"
7.75 KDA
",Anhur,"
Level 20 / 21,497G
"
51,victory,Ranked: Conquest - 9 days ago,29m,+19,+11 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,13, 3, 6,"
5.33 KDA
",Apollo,"
Level 20 / 19,828G
"
52,defeat,Ranked: Conquest - 10 days ago,30m,-20,-29 SR,Aegis Amulet,Purification Beads,9, 6, 4,"
1.83 KDA
",Medusa,"
Level 20 / 15,831G
"
53,victory,Ranked: Conquest - 10 days ago,16m,+19,+5 SR,Aegis Amulet,Purification Beads,7, 1, 3,"
8.5 KDA
",Apollo,"
Level 17 / 11,301G
"
54,defeat,Normal: Conquest - 10 days ago,25m,-13,-68 SR,Purification Beads,Heavenly Wings Upgrade,1, 7, 5,"
0.5 KDA
",Bastet,"
Level 17 / 12,169G
"
55,defeat,Normal: Conquest - 10 days ago,34m,-12,-39 SR,Aegis Amulet,Purification Beads,4, 14, 6,"
0.5 KDA
 ",Raijin,"
Level 20 / 15,872G
"
56,defeat,Normal: Conquest - 10 days ago,16m,-12,-33 SR,Relic,Heavenly Wings Upgrade,4, 8, 1,"
0.56 KDA
",Kumbhakarna,"
Level 11 / 8,475G
"
57,defeat,Normal: Conquest - 10 days ago,22m,-13,-37 SR,Purification Beads,Blink Rune,11, 8, 3,"
1.56 KDA
",Artemis,"
Level 20 / 13,624G
"
58,victory,Normal: Conquest - 10 days ago,36m,"+8
",+31 SR,Purification Beads,Blink Rune,17, 9, 8,"
2.33 KDA
",Pele,"
Level 20 / 23,056G
"
59,defeat,Normal: Conquest - 10 days ago,26m,-14,-94 SR,Purification Beads,Blink Rune,2, 5, 14,"
1.8 KDA
",Ares,"
Level 19 / 12,333G
"
60,victory,Normal: Conquest - 10 days ago,26m,"+6
",+72 SR,Blink Rune,Purification Beads,10, 6, 7,"
2.25 KDA
",Erlang Shen,"
Level 20 / 17,106G
"
61,defeat,Ranked: Conquest - 10 days ago,25m,-18,-35 SR,Aegis Amulet,Purification Beads,12, 6, 3,"
2.25 KDA
",Apollo,"
Level 20 / 14,973G
"
62,defeat,Ranked: Conquest - 10 days ago,25m,-16,-15 SR,Aegis Amulet,Purification Beads,5, 4, 7,"
2.13 KDA
",Ullr,"
Level 20 / 13,296G
"
63,victory,Ranked: Conquest - 10 days ago,36m,+17,+17 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,7, 13, 6,"
0.77 KDA
",Cupid,"
Level 20 / 19,639G
"
64,victory,Ranked: Conquest - 10 days ago,10m,+19,+9 SR,Relic,Purification Beads,5, 0, 4,"
7 KDA
",Apollo,"
Level 11 / 6,968G
"
65,defeat,Normal: Conquest - 11 days ago,19m,-14,-45 SR,Aegis Amulet,Purification Beads,7, 7, 4,"
1.29 KDA
",Ah Muzen Cab,"
Level 16 / 10,368G
"
66,defeat,Normal: Conquest - 11 days ago,28m,-14,-74 SR,Purification Beads,Blink Rune,14, 9, 6,"
1.89 KDA
",Erlang Shen,"
Level 20 / 17,440G
"
67,defeat,Ranked: Conquest - 11 days ago,37m,-20,-16 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,10, 3, 6,"
4.33 KDA
",Ullr,"
Level 20 / 19,927G
"
68,victory,Ranked: Conquest - 11 days ago,14m,+20,+7 SR,Aegis Amulet,Purification Beads,3, 0, 6,"
6 KDA
",Apollo,"
Level 14 / 9,147G
"
69,victory,Normal: Conquest - 11 days ago,16m,"+8
",+11 SR,Aegis Amulet,Purification Beads,7, 2, 6,"
5 KDA
",Discordia,"
Level 16 / 10,201G
"
70,defeat,Ranked: Conquest - 11 days ago,32m,-24,-41 SR,Aegis Amulet,Purification Beads,15, 5, 6,"
3.6 KDA
",Cupid,"
Level 20 / 19,876G
"
71,defeat,Ranked: Conquest - 11 days ago,25m,-18,-16 SR,Aegis Amulet,Purification Beads,10, 4, 2,"
2.75 KDA
",Ullr,"
Level 20 / 13,544G
"
72,victory,Normal: Conquest - 11 days ago,42m,"+7
",+51 SR,Purification Beads Upgrade,Blink Rune Upgrade,16, 8, 15,"
2.94 KDA
",Awilix,"
Level 20 / 27,079G
"
73,victory,Normal: Conquest - 11 days ago,27m,"+5
",+180 SR,Purification Beads,Blink Rune,23, 3, 6,"
8.67 KDA
",Artemis,"
Level 20 / 20,522G
"
74,defeat,Normal: Conquest - 11 days ago,10m,-13,-42 SR,Relic,Blink Rune,0, 3, 0,"
0 KDA
",Jormungandr,"
Level 9 / 5,374G
"
75,victory,Normal: Conquest - 11 days ago,26m,"+8
",+62 SR,Purification Beads Upgrade,Blink Rune Upgrade,10, 3, 15,"
5.83 KDA
",Nu Wa,"
Level 20 / 17,473G
"
76,defeat,Ranked: Conquest - 11 days ago,25m,-22,-18 SR,Aegis Amulet,Purification Beads,6, 7, 5,"
1.21 KDA
",Anhur,"
Level 20 / 12,917G
"
77,victory,Ranked: Conquest - 11 days ago,22m,+16,+7 SR,Aegis Amulet,Purification Beads,13, 3, 5,"
5.17 KDA
",Apollo,"
Level 20 / 15,439G
"
78,victory,Ranked: Conquest - 12 days ago,26m,+20,+12 SR,Aegis Amulet,Purification Beads,17, 1, 11,"
22.5 KDA
",Cupid,"
Level 20 / 17,971G
"
79,victory,Ranked: Conquest - 12 days ago,34m,+22,+19 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,7, 2, 11,"
6.25 KDA
",Ullr,"
Level 20 / 20,658G
"
80,victory,Ranked: Conquest - 12 days ago,24m,+22,+16 SR,Purification Beads,Blink Rune,6, 3, 9,"
3.5 KDA
",Anhur,"
Level 20 / 13,368G
"
81,victory,Normal: Conquest - 12 days ago,14m,"+8
",+93 SR,Purification Beads,Blink Rune,8, 1, 3,"
9.5 KDA
",Hercules,"
Level 14 / 9,274G
"
82,victory,Ranked: Conquest - 12 days ago,20m,+16,+10 SR,Aegis Amulet,Purification Beads,16, 2, 3,"
8.75 KDA
",Apollo,"
Level 20 / 15,257G
"
83,defeat,Normal: Conquest - 12 days ago,17m,-11,-76 SR,Purification Beads,Blink Rune,0, 4, 1,"
0.13 KDA
",Set,"
Level 13 / 7,957G
"
84,defeat,Normal: Conquest - 12 days ago,27m,-13,-33 SR,Purification Beads,Blink Rune,6, 4, 3,"
1.88 KDA
",Zhong Kui,"
Level 20 / 14,115G
"
85,victory,Normal: Conquest - 12 days ago,10m,"+8
",+24 SR,Relic,Purification Beads,6, 1, 5,"
8.5 KDA
",Thoth,"
Level 11 / 6,674G
"
86,victory,Normal: Conquest - 12 days ago,27m,"+7
",+49 SR,Shield of Thorns Upgrade,Teleport Glyph,9, 4, 9,"
 3.38 KDA
",Bellona,"
Level 20 / 17,035G
"
87,victory,Normal: Conquest - 12 days ago,31m,"+7
",+10 SR,Purification Beads,Blink Rune,13, 6, 11,"
3.08 KDA
",Scylla,"
Level 20 / 20,181G
"
88,defeat,Ranked: Conquest - 12 days ago,10m,-21,-38 SR,Relic,Blink Rune,0, 4, 2,"
0.25 KDA
",Thanatos,"
Level 8 / 5,264G
"
89,defeat,Ranked: Conquest - 12 days ago,31m,-22,-21 SR,Aegis Amulet,Purification Beads,6, 7, 0,"
0.86 KDA
",Ullr,"
Level 20 / 16,233G
"
90,victory,Ranked: Conquest - 13 days ago,31m,+22,+21 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,10, 8, 12,"
2 KDA
",Anhur,"
Level 20 / 18,011G
"
91,victory,Ranked: Conquest - 13 days ago,25m,+23,+41 SR,Aegis Amulet,Purification Beads,8, 2, 10,"
6.5 KDA
",Cernunnos,"
Level 20 / 15,970G
"
92,defeat,Ranked: Conquest - 13 days ago,26m,-19,-19 SR,Purification Beads,Blink Rune,12, 10, 8,"
1.6 KDA
",Ullr,"
Level 20 / 14,504G
"
93,victory,Ranked: Conquest - 13 days ago,24m,+22,+43 SR,Aegis Amulet,Purification Beads,7, 9, 6,"
1.11 KDA
",Hou Yi,"
Level 19 / 14,186G
"
94,victory,Ranked: Conquest - 13 days ago,31m,+22,+19 SR,Aegis Amulet,Purification Beads,16, 3, 9,"
6.83 KDA
",Cupid,"
Level 20 / 19,744G
"
95,defeat,Ranked: Conquest - 13 days ago,36m,-22,-28 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,20, 5, 5,"
4.5 KDA
",Apollo,"
Level 20 / 23,214G
"
96,victory,Ranked: Conquest - 13 days ago,23m,+22,+27 SR,Aegis Amulet,Purification Beads,7, 3, 8,"
3.67 KDA
",Cupid,"
Level 20 / 13,361G
"
97,victory,Ranked: Conquest - 13 days ago,22m,+24,+11 SR,Aegis Amulet,Purification Beads,3, 1, 14,"
10 KDA
",Apollo,"
Level 20 / 15,204G
"
98,victory,Ranked: Conquest - 13 days ago,27m,+19,+11 SR,Purification Beads,Blink Rune,12, 3, 14,"
6.33 KDA
",Anhur,"
Level 20 / 16,979G
"
99,defeat,Ranked: Conquest - 14 days ago,23m,-23,-49 SR,Aegis Amulet,Purification Beads,6, 7, 3,"
1.07 KDA
",Cupid,"
Level 20 / 12,866G
"
100,defeat,Ranked: Conquest - 14 days ago,27m,-24,-90 SR,Aegis Amulet,Purification Beads,3, 3, 4,"
1.67 KDA
",Hou Yi,"
Level 20 / 13,599G
"
101,victory,Ranked: Conquest - 14 days ago,27m,+48,+21 SR,Aegis Amulet,Purification Beads,6, 9, 7,"
1.06 KDA
",Izanami,"
Level 20 / 15,340G
"
102,defeat,Ranked: Conquest - 14 days ago,22m,-23,-19 SR,Purification Beads,Blink Rune,7, 5, 5,"
1.9 KDA
",Ullr,"
Level 18 / 12,688G
"
103,victory,Ranked: Conquest - 14 days ago,27m,+23,+15 SR,Aegis Amulet,Purification Beads,9, 3, 7,"
4.17 KDA
",Apollo,"
Level 20 / 17,515G
"
104,victory,Ranked: Conquest - 16 days ago,25m,+27,+55 SR,Aegis Amulet,Purification Beads,6, 5, 10,"
2.2 KDA
",Cernunnos,"
Level 20 / 15,665G
"
105,defeat,Ranked: Conquest - 16 days ago,25m,-26,-27 SR,Purification Beads,Blink Rune,7, 12, 6,"
0.83 KDA
",Isis,"
Level 17 / 12,822G
"
106,victory,Ranked: Conquest - 16 days ago,29m,+26,+72 SR,Purification Beads,Blink Rune,8, 1, 13,"
14.5 KDA
",Neith,"
Level 20 / 18,031G
"
107,victory,Ranked: Conquest - 16 days ago,30m,+20,+30 SR,Aegis Amulet,Purification Beads,4, 6, 9,"
1.42 KDA
",Izanami,"
Level 20 / 18,938G
"
108,victory,Ranked: Conquest - 16 days ago,10m,+26,+18 SR,Relic,Purification Beads,8, 0, 0,"
8 KDA
",Cupid,"
Level 12 / 6,692G
"
109,defeat,Ranked: Conquest - 16 days ago,42m,-25,-75 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,6, 3, 17,"
4.83 KDA
",Chiron,"
Level 20 / 22,996G
"
110,victory,Ranked: Conquest - 16 days ago,21m,+22,+16 SR,Purification Beads,Blink Rune,5, 2, 12,"
5.5 KDA
",Anhur,"
Level 19 / 12,412G
"
111,victory,Ranked: Conquest - 16 days ago,21m,+27,+23 SR,Aegis Amulet,Purification Beads,12, 3, 13,"
6.17 KDA
",Ullr,"
Level 19 / 13,758G
"
112,victory,Ranked: Conquest - 16 days ago,24m,+26,+12 SR,Aegis Amulet,Purification Beads,11, 4, 7,"
3.63 KDA
",Apollo,"
Level 20 / 14,981G
"
113,victory,Ranked: Conquest - 17 days ago,25m,+31,+20 SR,Purification Beads,Blink Rune,18, 1, 7,"
21.5 KDA
",Ullr,"
Level 20 / 16,234G
"
114,victory,Ranked: Conquest - 17 days ago,37m,+31,+14 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,12, 8, 12,"
2.25 KDA
",Fenrir,"
Level 20 / 21,654G
"
115,defeat,Ranked: Conquest - 17 days ago,25m,-30,-37 SR,Purification Beads,Blink Rune,9, 5, 4,"
2.2 KDA
",Thanatos,"
Level 20 / 14,195G
"
116,defeat,Ranked: Conquest - 17 days ago,19m,-32,-24 SR,Aegis Amulet,Purification Beads,2, 8, 2,"
0.38 KDA
",Isis,"
Level 14 / 9,114G
"
117,defeat,Ranked: Conquest - 17 days ago,20m,-34,-19 SR,Aegis Amulet,Purification Beads,3, 7, 2,"
0.57 KDA
",Anhur,"
Level 16 / 10,176G
"
118,defeat,Ranked: Conquest - 17 days ago,19m,-25,-33 SR,Aegis Amulet,Purification Beads,1, 7, 4,"
0.43 KDA
",Medusa,"
Level 16 / 9,647G
"
119,victory,Ranked: Conquest - 17 days ago,20m,+33,+20 SR,Purification Beads,Blink Rune,8, 0, 9,"
12.5 KDA
",Ullr,"
Level 20 / 13,431G
"
120,victory,Ranked: Conquest - 17 days ago,36m,+34,+35 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,17, 5, 9,"
4.3 KDA
",Izanami,"
Level 20 / 23,914G
"
121,defeat,Ranked: Conquest - 17 days ago,25m,-28,-50 SR,Aegis Amulet,Purification Beads,10, 6, 3,"
1.92 KDA
",Skadi,"
Level 20 / 13,824G
"
122,defeat,Ranked: Conquest - 17 days ago,32m,-47,-44 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,13, 8, 5,"
1.94 KDA
",Apollo,"
Level 20 / 17,407G
"
123,victory,Ranked: Conquest - 18 days ago,23m,+35,+9 SR,Aegis Amulet,Purification Beads,9, 3, 8,"
4.33 KDA
",Apollo,"
Level 20 / 13,907G
"
124,defeat,Ranked: Conquest - 18 days ago,35m,-37,-24 SR,Aegis Amulet,Purification Beads,8, 9, 11,"
1.5 KDA
",Isis,"
Level 20 / 17,178G
"
125,defeat,Ranked: Conquest - 18 days ago,13m,-38,-33 SR,Relic,Purification Beads,1, 4, 2,"
0.5 KDA
",Medusa,"
Level 11 / 6,579G
"
126,victory,Ranked: Conquest - 18 days ago,26m,+40,+18 SR,Aegis Amulet,Purification Beads,6, 8, 12,"
1.5 KDA
",Anhur,"
Level 20 / 15,209G
"
127,victory,Ranked: Conquest - 18 days ago,20m,+39,+11 SR,Aegis Amulet,Purification Beads,7, 1, 8,"
11 KDA
",Apollo,"
Level 19 / 13,002G
"
128,victory,Ranked: Conquest - 18 days ago,23m,-19,+11 SR,Aegis Amulet,Purification Beads,13, 3, 12,"
6.33 KDA
",Isis,"
Level 20 / 14,832G
"
129,victory,Normal: Conquest - 18 days ago,23m,"+7
",+17 SR,Purification Beads,Blink Rune,9, 1, 14,"
16 KDA
",Ra,"
Level 20 / 14,471G
"
130,victory,Ranked: Conquest - 19 days ago,27m,+17,+21 SR,Aegis Amulet,Purification Beads,13, 4, 11,"
4.63 KDA
",Cupid,"
Level 20 / 17,659G
"
131,defeat,Ranked: Conquest - 19 days ago,35m,-17,-43 SR,Purification Beads,Blink Rune,7, 5, 11,"
2.5 KDA
",Vamana,"
Level 20 / 19,462G
"
132,defeat,Normal: Conquest - 19 days ago,43m,-15,-112 SR,Aegis Amulet Upgrade,Purification Beads Upgrade,15, 13, 14,"
1.69 KDA
",Sol,"
Level 20 / 25,653G
"
133,defeat,Normal: Conquest - 19 days ago,20m,-15,-55 SR,Sundering Spear Upgrade,Blink Rune,1, 5, 5,"
0.7 KDA
",Ganesha,"
Level 16 / 9,137G
"
134,defeat,Ranked: Conquest - 19 days ago,44m,-15,-18 SR,Purification Beads Upgrade,Blink Rune Upgrade,11, 7, 8,"
2.14 KDA
",Anhur,"
Level 20 / 24,220G
"
135,victory,Normal: Conquest - 19 days ago,20m,"+7
",+61 SR,Aegis Amulet,Purification Beads,8, 4, 7,"
2.88 KDA
",Hachiman,"
Level 20 / 13,777G
"
136,defeat,Normal: Conquest - 19 days ago,17m,-15,-127 SR,Aegis Amulet,Purification Beads,5, 7, 1,"
0.79 KDA
",Olorun,"
Level 15 / 8,992G
"
137,victory,Normal: Conquest - 19 days ago,29m,"+7
",+24 SR,Aegis Amulet,Purification Beads,13, 7, 13,"
2.79 KDA
",Rama,"
Level 20 / 16,728G
"
138,victory,Ranked: Conquest - 20 days ago,10m,+15,+36 SR,Relic,Purification Beads,5, 2, 3,"
3.25 KDA
",Hou Yi,"
Level 11 / 6,776G
"
139,defeat,Ranked: Conquest - 20 days ago,27m,-16,-39 SR,Purification Beads,Blink Rune,6, 6, 9,"
1.75 KDA
",Neith,"
Level 20 / 14,352G
"
140,victory,Ranked: Conquest - 20 days ago,24m,+17,+31 SR,Aegis Amulet,Purification Beads,11, 2, 7,"
7.25 KDA
",Medusa,"
Level 20 / 15,458G
"
141,defeat,Ranked: Conquest - 20 days ago,24m,-12,-18 SR,Purification Beads,Blink Rune,8, 6, 2,"
1.5 KDA
",Ullr,"
Level 20 / 13,977G
"
142,defeat,Ranked: Conquest - 20 days ago,27m,-15,-49 SR,Aegis Amulet,Purification Beads,9, 5, 8,"
2.6 KDA
",Apollo,"
Level 20 / 15,409G
"
143,defeat,Ranked: Conquest - 20 days ago,31m,-16,-30 SR,Aegis Amulet,Purification Beads,4, 7, 4,"
0.86 KDA
",Ra,"
Level 20 / 15,360G
"
144,victory,Ranked: Conquest - 20 days ago,21m,+16,+20 SR,Purification Beads,Blink Rune,12, 1, 7,"
15.5 KDA
",Anhur,"
Level 20 / 14,007G
"
145,victory,Ranked: Conquest - 20 days ago,26m,+16,+15 SR,Aegis Amulet,Purification Beads Upgrade,11, 4, 5,"
3.38 KDA
",Scylla,"
Level 20 / 17,374G
"
146,defeat,Ranked: Conquest - 20 days ago,23m,-17,-23 SR,Purification Beads,Blink Rune,7, 7, 0,"
1 KDA
",Anubis,"
Level 19 / 12,985G
"
147,victory,Ranked: Conquest - 21 days ago,22m,+18,+74 SR,Aegis Amulet,Purification Beads,11, 4, 4,"
3.25 KDA
",Freya,"
Level 20 / 14,859G
"
148,victory,Ranked: Conquest - 21 days ago,13m,+16,+19 SR,Relic,Purification Beads,2, 2, 4,"
2 KDA
",Isis,"
Level 13 / 7,912G
"
149,defeat,Ranked: Conquest - 21 days ago,25m,-17,-39 SR,Aegis Amulet,Purification Beads,6, 8, 5,"
1.06 KDA
",Rama,"
Level 20 / 13,112G
"
150,victory,Ranked: Conquest - 21 days ago,33m,+12,+51 SR,Aegis Amulet Upgrade,Blink Rune Upgrade,16, 2, 11,"
10.75 KDA
",Zhong Kui,"
Level 20 / 21,840G
"
